Date,Time,Actual,Predicted
2024-06-07,13:12:00,90.223,260.61844
2024-06-05,09:35:00,6349.903,241.69888
2024-06-01,04:46:00,640.0730000000001,2316.0193
2024-04-07,15:04:00,0.563,206.80237
2024-04-02,15:35:00,10.12,183.11589
2024-02-04,07:16:00,20.117000000000004,278.26468
2024-03-05,08:03:00,913.86,166.04675
2024-05-07,12:39:00,49.97,192.55501
2024-07-02,19:26:00,115.51,706.0128
2024-04-03,22:07:00,99.056,516.3721
2024-07-04,05:37:00,769.773,1527.0349
2024-06-06,13:52:00,21.083,248.19211
2024-03-04,16:45:00,10.252999999999998,123.30088
2024-04-03,17:10:00,10.846,93.03638
2024-05-06,15:43:00,29.350000000000005,204.49754
2024-06-05,17:59:00,42.21,313.04373
2024-07-05,09:33:00,977.743,276.91946
2024-07-06,17:22:00,20.867,349.2336
2024-07-07,23:34:00,2519.666,1541.1179
2024-03-05,19:18:00,19.373,285.96622
2024-06-06,07:08:00,1169.927,622.88464
2024-03-02,18:57:00,431.16,356.8602
2024-05-03,21:03:00,1180.267,1571.1882
2024-02-04,05:56:00,9.844,406.33313
2024-06-05,14:07:00,249.254,209.15384
2024-05-01,18:52:00,210.653,1767.0797
2024-03-04,09:01:00,0.237,75.32934
2024-03-04,13:49:00,136.86,106.908875
2024-03-06,19:25:00,30.793,196.80905
2024-03-06,18:38:00,10.256,39.91137
2024-03-03,17:45:00,10.88,125.3342
2024-04-07,12:39:00,20.173,208.11336
2024-04-06,11:50:00,20.047,108.38432
2024-02-05,23:11:00,290.923,1442.1992
2024-06-01,08:16:00,51.93,540.3772
2024-03-06,18:06:00,19.897,169.44421
2024-02-05,19:13:00,189.826,311.3607
2024-03-06,12:41:00,120.10299999999998,159.36995
2024-04-03,08:28:00,12.22,122.07908
2024-06-03,08:13:00,6.093,227.62476
2024-07-05,18:49:00,6.414,471.7254
2024-03-03,17:37:00,220.707,151.00053
2024-04-02,17:40:00,19.124,123.452965
2024-04-05,13:37:00,20.963,77.50146
2024-05-07,11:00:00,40.116,340.50525
2024-03-03,18:49:00,48.14,195.12758
2024-03-06,18:41:00,0.204,169.86826
2024-05-03,17:52:00,31.093,381.27924
2024-04-05,18:33:00,79.787,131.10513
2024-04-03,07:27:00,0.0969999999999999,193.33754
2024-05-05,15:15:00,10.377000000000002,109.61436
2024-06-04,13:26:00,19.563,252.0692
2024-06-05,18:41:00,156.46,356.10315
2024-07-06,13:37:00,29.596,267.74686
2024-04-07,13:18:00,19.74,202.97235
2024-06-04,07:52:00,180.227,235.38486
2024-05-07,12:54:00,80.163,186.15585
2024-04-03,20:37:00,8.234,309.89087
2024-04-04,08:01:00,29.517,128.02905
2024-04-05,05:46:00,290.21,462.33966
2024-06-06,16:45:00,38.37,261.2438
2024-06-04,06:42:00,292.116,357.03177
2024-04-07,13:28:00,0.86,203.21098
2024-06-02,09:18:00,688.856,366.0445
2024-02-03,08:31:00,58.217,277.63736
2024-04-05,18:08:00,120.007,132.7857
2024-04-05,12:57:00,9.406,83.339554
2024-06-01,07:44:00,109.383,555.73145
2024-07-06,16:48:00,79.263,312.4924
2024-03-03,18:01:00,18.174,116.004684
2024-07-01,04:10:00,129.93,1482.1125
2024-03-06,12:41:00,10.437,51.44734
2024-05-02,16:51:00,589.527,450.4936
2024-05-05,12:33:00,69.023,121.95753
2024-04-04,16:57:00,60.9,124.01024
2024-04-03,15:45:00,9.867,109.597275
2024-04-04,22:26:00,10.727,1268.3574
2024-02-06,18:41:00,49.64,304.3229
2024-04-04,21:36:00,20.103,406.67966
2024-07-05,13:37:00,60.793,262.22394
2024-06-06,17:18:00,169.59,273.94763
2024-07-03,22:15:00,28.4,2109.9321
2024-02-02,12:49:00,818.9,342.45557
2024-04-05,19:37:00,339.973,166.25418
2024-06-03,20:53:00,61.693,535.30615
2024-05-07,16:11:00,59.957,198.45695
2024-04-03,06:30:00,69.69,280.44873
2024-02-07,17:00:00,99.91,501.14026
2024-03-04,07:12:00,0.094,159.33084
2024-01-05,06:39:00,19.833,844.8626
2024-06-04,18:55:00,1.156,460.5483
2024-06-06,16:57:00,29.39,253.20692
2024-05-05,13:28:00,65.623,95.36754
2024-05-02,08:50:00,330.54,281.5337
2024-03-06,19:34:00,8.366,169.13786
2024-04-02,07:54:00,52.21,226.36838
2024-06-06,16:17:00,0.394,250.17673
2024-03-06,22:30:00,29.79,314.42822
2024-04-06,18:00:00,19.723,138.5232
2024-04-01,15:37:00,59.466,377.4314
2024-07-02,16:40:00,109.717,509.0678
2024-06-06,13:01:00,89.46000000000001,227.95451
2024-05-06,14:28:00,350.15,155.09203
2024-03-02,20:37:00,1287.7239999999997,333.9894
2024-06-04,00:09:00,609.78,12285.826
2024-05-04,08:03:00,559.83,223.96423
2024-02-04,16:15:00,831.313,231.31578
2024-06-02,16:03:00,11.077,248.96648
2024-02-05,16:57:00,7.527,279.00748
2024-03-05,17:40:00,160.12,122.97121
2024-07-03,06:39:00,379.286,521.86304
2024-07-02,06:39:00,80.917,615.4849
2024-03-04,19:28:00,19.864,127.3675
2024-05-06,15:39:00,5.393,159.5611
2024-06-04,18:23:00,79.49,338.35464
2024-06-07,23:07:00,0.077,1492.7614
2024-02-04,17:56:00,10.164,247.61456
2024-05-06,17:21:00,39.064,206.80945
2024-04-02,08:00:00,0.237,226.19841
2024-01-03,13:24:00,59.083,691.32965
2024-03-06,19:45:00,9.156,172.90852
2024-05-05,15:16:00,154.26,109.71173
2024-03-02,22:25:00,9.85,533.42993
2024-06-07,19:23:00,29.677,421.14246
2024-06-07,10:52:00,0.64,351.37222
2024-06-06,12:39:00,139.817,222.1242
2024-04-07,17:18:00,170.11,217.37651
2024-03-04,19:11:00,12.01,125.72721
2024-04-04,16:56:00,19.99,123.89043
2024-04-05,06:15:00,576.673,297.23105
2024-03-04,17:48:00,11.45,128.22173
2024-04-04,08:20:00,10.223,67.477585
2024-05-03,17:12:00,237.773,286.45206
2024-05-02,07:23:00,330.907,335.55298
2024-02-07,17:15:00,78.877,570.2674
2024-01-05,19:33:00,31.463,754.6379
2024-05-02,18:01:00,0.064,635.00806
2024-06-05,18:38:00,70.773,335.24463
2024-03-03,08:00:00,0.094,159.37843
2024-02-02,11:33:00,495.2200000000001,331.33414
2024-05-04,17:03:00,270.113,253.18643
2024-02-02,19:06:00,50.574,220.35825
2024-02-05,19:37:00,81.207,302.3368
2024-02-04,17:42:00,120.704,254.06773
2024-03-06,19:03:00,9.95,187.04068
2024-06-07,13:43:00,58.664,249.4471
2024-05-06,15:40:00,38.633,204.647
2024-04-02,22:48:00,30.97,891.2132
2024-06-05,17:51:00,40.03,304.9838
2024-03-05,08:50:00,2237.696,186.53903
2024-03-07,19:57:00,35.483,465.31366
2024-05-03,21:45:00,1.093,664.68896
2024-03-07,04:20:00,610.163,1741.5096
2024-03-05,15:43:00,9.833,115.73582
2024-03-01,13:28:00,49.87,645.93506
2024-05-02,08:31:00,179.683,287.11975
2024-03-04,17:18:00,0.967,115.43008
2024-03-07,16:15:00,340.25,303.67053
2024-04-03,19:12:00,3.456,66.50304
2024-01-05,07:52:00,0.093,431.82553
2024-06-05,11:41:00,310.677,188.99875
2024-03-05,19:19:00,20.524,165.65175
2024-03-04,22:45:00,19.417,356.66046
2024-06-02,17:25:00,69.803,358.84647
2024-04-06,12:31:00,0.8929999999999999,116.182686
2024-04-05,19:34:00,71.26400000000001,165.18849
2024-04-05,22:15:00,158.584,298.47433
2024-02-02,09:03:00,10.387,253.59123
2024-02-03,06:12:00,1530.023,511.4398
2024-04-05,20:27:00,32.073,297.02002
2024-05-05,17:47:00,150.074,228.07777
2024-03-05,19:51:00,60.153,285.4475
2024-06-03,08:22:00,20.814,249.61028
2024-06-05,16:19:00,119.204,239.7286
2024-07-03,08:20:00,9.3,170.5099
2024-03-07,19:22:00,19.51,401.6137
2024-01-07,12:52:00,9.833,346.03668
2024-05-04,10:07:00,31.124,181.07549
2024-04-03,21:10:00,26.494,127.26538
2024-07-02,05:00:00,2331.786,3593.0325
2024-05-03,19:33:00,100.09,578.80286
2024-04-06,23:00:00,39.763,526.05005
2024-02-06,18:13:00,50.19,304.12048
2024-04-04,18:07:00,9.457,158.43288
2024-03-05,18:16:00,1.506,109.242
2024-04-04,21:19:00,39.974,368.1826
2024-07-02,10:01:00,20.517,271.19403
2024-04-05,07:57:00,19.284,78.42608
2024-04-02,16:18:00,39.76,193.68536
2024-03-06,20:08:00,51.063,42.387947
2024-06-06,19:22:00,20.886,370.68976
2024-03-04,08:56:00,20.07,141.40965
2024-03-03,16:55:00,1.127,128.09663
2024-04-02,23:18:00,29.11,1868.4331
2024-04-04,05:43:00,121.027,382.0106
2024-04-05,18:42:00,20.127,162.75984
2024-04-03,07:11:00,149.48,231.9796
2024-03-03,19:55:00,90.08,118.253235
2024-05-05,14:48:00,50.324,168.23503
2024-04-05,13:33:00,19.667,88.26497
2024-04-05,18:46:00,30.57,166.70227
2024-05-01,12:18:00,722.637,1305.7714
2024-07-07,12:43:00,10.707,287.71173
2024-07-05,16:40:00,19.6,305.02618
2024-04-02,07:52:00,19.19,235.12033
2024-03-03,18:12:00,11.39,174.00475
2024-04-02,19:57:00,18.946,131.39722
2024-04-02,17:52:00,419.827,297.3224
2024-03-04,17:41:00,19.204,117.35838
2024-03-06,14:28:00,39.964,42.410206
2024-04-04,23:07:00,22048.3,1927.9249
2024-04-06,15:54:00,110.08,112.12627
2024-03-06,15:45:00,29.67,188.648
2024-02-04,14:01:00,1458.93,274.0228
2024-02-03,15:33:00,549.147,251.6287
2024-04-03,16:51:00,11.01,86.24649
2024-03-03,08:03:00,19.847,158.545
2024-06-05,15:16:00,23.176,225.32272
2024-03-02,08:03:00,19.653,210.51666
2024-06-04,22:03:00,2309.306,959.1565
2024-04-06,23:42:00,9.673,680.68054
2024-05-05,17:03:00,241.02400000000003,203.73386
2024-05-05,07:30:00,0.344,269.20532
2024-07-06,14:31:00,29.296000000000003,283.61356
2024-01-07,12:48:00,39.897,344.25522
2024-06-02,15:45:00,298.14,398.7184
2024-03-06,07:30:00,7982.103,866.8776
2024-03-02,08:45:00,18.93,209.0119
2024-07-01,05:29:00,189.594,1075.1403
2024-04-04,08:26:00,41.20300000000001,66.27623
2024-04-02,17:26:00,49.993,123.25168
2024-05-06,16:06:00,9.98,167.5604
2024-04-05,06:24:00,1.26,266.52396
2024-02-06,18:04:00,9.603,304.05566
2024-04-07,11:50:00,89.543,240.29745
2024-03-05,18:11:00,210.07,133.98482
2024-03-02,16:27:00,190.37,151.94907
2024-05-07,15:46:00,150.557,250.35095
2024-06-05,17:56:00,20.483,298.17004
2024-02-04,08:33:00,10.097,248.27946
2024-05-05,18:30:00,429.75000000000006,261.44028
2024-04-04,18:23:00,31.167,167.48557
2024-03-05,15:40:00,38.643,98.576
2024-02-03,07:37:00,0.08,203.83516
2024-06-05,19:21:00,19.873,393.80032
2024-03-07,18:31:00,161.183,312.72467
2024-06-03,17:23:00,15.753,274.1603
2024-04-04,08:45:00,59.816,61.902534
2024-03-06,18:51:00,19.72,92.80118
2024-03-06,14:43:00,9.323,142.96019
2024-04-03,22:58:00,18.493,654.13885
2024-04-04,09:13:00,29.203,70.68149
2024-03-01,06:10:00,80.157,776.5512
2024-07-03,09:01:00,70.29,166.76709
2024-05-06,17:18:00,329.733,179.47296
2024-03-02,07:40:00,109.906,219.65697
2024-03-06,23:10:00,19.88,278.67154
2024-07-02,20:36:00,240.033,993.4112
2024-05-01,08:24:00,40.133,465.65173
2024-04-04,08:39:00,0.17,63.024757
2024-03-02,10:43:00,125.727,194.9836
2024-04-03,22:18:00,37.844,560.44214
2024-06-04,07:30:00,29.253,347.17673
2024-02-06,19:43:00,271.124,524.0005
2024-01-02,07:45:00,10.05,592.0889
2024-03-06,20:15:00,10.08,43.135082
2024-04-04,19:18:00,0.25,199.71312
2024-04-04,07:02:00,50.813,176.13809
2024-03-02,08:09:00,79.6,216.43633
2024-04-05,16:45:00,9.84,106.55574
2024-03-06,20:31:00,19.817,234.86206
2024-06-07,12:31:00,19.19,258.63254
2024-04-03,21:52:00,6.413,404.84543
2024-03-07,18:41:00,29.837,319.9223
2024-06-02,13:43:00,20.71,306.04453
2024-04-02,19:25:00,19.98,384.51984
2024-02-06,17:17:00,40.877,490.5264
2024-06-02,17:15:00,70.237,296.08398
2024-06-05,06:12:00,290.066,892.3714
2024-06-04,06:37:00,149.83,383.615
2024-06-04,17:10:00,19.997,306.97202
2024-07-05,22:23:00,30.033,1274.7366
2024-04-04,18:28:00,9.787,170.24487
2024-05-04,07:35:00,30.753,241.0229
2024-03-06,20:40:00,119.9,232.88477
2024-04-07,13:16:00,40.063,202.92911
2024-04-05,20:04:00,19.067,258.94394
2024-02-07,13:13:00,110.17,617.47675
2024-04-05,19:06:00,20.997,178.03973
2024-02-02,12:18:00,4.703,333.63373
2024-07-05,11:13:00,161.107,221.99435
2024-04-02,07:39:00,20.136,238.22208
2024-06-07,14:16:00,89.257,270.18738
2024-07-03,13:05:00,661.087,281.6353
2024-05-06,20:25:00,30.33,294.19492
2024-04-07,13:35:00,10.62,203.36307
