Date,Time,Actual,Predicted
2024-04-03,19:41:00,0.076,12.6280575
2024-06-02,19:07:00,30.92,59.236973
2024-07-03,17:53:00,3.54,55.622555
2024-03-01,21:26:00,61.473,121.291145
2024-04-04,08:46:00,29.747,251.13539
2024-04-04,18:58:00,9.806,24.713118
2024-04-06,23:33:00,58.47,3.1366274
2024-07-03,17:21:00,20.067,73.11123
2024-06-05,17:04:00,171.457,51.91306
2024-05-05,17:26:00,89.64,68.50125
2024-06-02,22:56:00,19.633,11.290297
2024-03-04,18:22:00,0.156,27.021254
2024-04-02,22:43:00,17.99,8.073764
2024-07-04,15:20:00,49.0,162.14867
2024-03-06,20:00:00,21.106,29.209549
2024-03-04,21:52:00,18.387,3.4986374
2024-03-07,21:38:00,69.186,24.468462
2024-03-04,20:38:00,200.144,6.924021
2024-04-07,00:27:00,18.34,0.99235445
2024-06-07,01:26:00,60.084,16.14219
2024-07-07,14:09:00,0.064,173.64888
2024-03-03,17:49:00,1.064,44.683174
2024-04-04,14:16:00,1440.696,321.51312
2024-04-04,18:15:00,27.967,32.724667
2024-04-06,19:51:00,0.0,23.803635
2024-07-04,15:54:00,40.147,125.5863
2024-07-01,21:37:00,110.653,25.41552
2024-02-04,16:55:00,0.377,117.62551
2024-04-07,21:48:00,9.013,8.859902
2024-07-02,08:56:00,16.28,837.1386
2024-05-01,22:36:00,39.256,28.814001
2024-02-02,19:52:00,10.027,33.97316
2024-04-01,23:03:00,20.087,37.906498
2024-03-06,23:33:00,29.443,4.0499573
2024-03-02,22:07:00,10.007,9.742585
2024-03-04,17:07:00,50.68,66.95181
2024-06-02,18:43:00,34.784,68.92756
2024-06-05,17:56:00,108.363,42.669792
2024-03-07,21:34:00,9.96,24.735773
2024-06-03,00:25:00,20.147,121.93187
2024-06-05,10:15:00,19.723,1265.3928
2024-04-06,01:06:00,1.817,33.157974
2024-07-02,18:53:00,10.18,60.050213
2024-05-02,22:16:00,0.513,11.910776
2024-04-04,21:13:00,10.05,6.0009904
2024-02-06,03:01:00,29.994,217.29651
2024-04-03,17:45:00,9.7,43.2687
2024-04-04,20:16:00,0.157,9.499941
2024-03-02,22:03:00,10.05,15.020697
2024-03-02,22:18:00,9.773,13.68737
2024-03-05,16:00:00,19.867,109.81665
2024-06-07,23:27:00,10.047,3.685795
2024-06-07,14:49:00,10.05,138.5254
2024-04-04,23:10:00,0.063,1.7715884
2024-03-03,20:33:00,0.623,9.168122
2024-04-04,22:52:00,0.576,2.110139
2024-02-04,22:04:00,0.047,10.579194
2024-03-03,21:18:00,9.9,5.522141
2024-04-01,23:04:00,19.89,33.27261
2024-03-04,21:27:00,9.103,4.9370365
2024-04-02,21:15:00,20.69,14.262809
2024-04-03,22:06:00,1.03,3.6277275
2024-07-03,17:59:00,18.91,53.36493
2024-04-01,23:00:00,0.22,34.050865
2024-03-03,17:59:00,20.83,43.17158
2024-04-03,16:47:00,9.58,74.491
2024-07-04,18:37:00,29.803,29.871094
2024-06-04,14:34:00,9.81,225.01607
2024-04-04,19:12:00,9.28,16.918106
2024-07-04,21:48:00,9.9,5.786941
2024-07-02,18:22:00,139.097,74.459465
2024-04-02,20:34:00,0.287,16.831415
2024-05-01,16:56:00,150.04,230.95993
2024-05-02,16:03:00,1754.72,205.25311
2024-07-04,22:12:00,29.313,4.537387
2024-06-01,17:45:00,18.583,127.48633
2024-03-02,21:10:00,6.553,25.710255
2024-07-04,22:04:00,20.073,4.8237095
2024-02-07,16:55:00,530.467,544.9239
2024-01-04,21:26:00,40.027,11.42199
2024-06-02,15:50:00,29.703,220.1518
2024-07-03,08:48:00,249.147,875.67
2024-04-04,21:08:00,0.03,6.62966
2024-03-02,21:22:00,9.79,18.504374
2024-04-04,20:07:00,8.907,12.339254
2024-02-03,18:16:00,40.987,41.2169
2024-03-04,19:45:00,8.766,13.871209
2024-06-07,18:10:00,9.933,32.193233
2024-04-07,00:53:00,20.646,3.2356567
2024-07-01,22:15:00,19.837,20.270428
2024-04-03,20:37:00,19.554,9.153372
2024-02-05,19:33:00,0.14,64.32775
2024-07-04,22:06:00,0.14,4.8525095
2024-04-02,19:33:00,0.984,19.337227
2024-03-07,22:37:00,469.3,16.714653
2024-06-04,20:30:00,9.983,8.702734
2024-05-03,22:45:00,29.82,2.507599
2024-06-03,18:40:00,12.81,30.933079
2024-07-03,22:15:00,0.656,5.520783
2024-02-07,17:52:00,750.083,428.87555
2024-03-06,23:11:00,0.297,4.92362
2024-02-02,18:12:00,0.233,62.59182
2024-06-06,23:03:00,31.074,3.8714669
2024-07-07,21:37:00,10.21,6.77482
2024-06-07,13:57:00,70.143,206.13272
2024-04-04,21:40:00,20.117,4.3368344
2024-03-03,18:23:00,10.31,34.480278
2024-05-04,17:47:00,111.293,41.609783
2024-06-05,18:16:00,10.027,33.077114
2024-02-05,23:43:00,70.35,5.400989
2024-03-05,06:31:00,3630.447,497.01587
2024-03-04,22:16:00,10.267,3.0338686
2024-04-03,20:41:00,99.61,8.010208
2024-04-04,21:42:00,0.86,4.21312
2024-03-03,21:16:00,0.39,5.8599453
2024-05-05,13:52:00,29.88,291.61523
2024-04-05,16:52:00,149.707,82.13611
2024-04-07,01:07:00,19.303,6.4248824
2024-03-04,23:34:00,1.047,1.2774458
2024-03-04,17:41:00,18.937,40.25035
2024-04-03,20:22:00,0.78,10.605157
2024-03-02,16:37:00,70.346,157.10187
